"time","kWh.mean_value"
"2024-01-01T14:12:00.000+04:00",
"2024-01-02T01:36:00.000+04:00","0.845"
"2024-01-02T13:00:00.000+04:00","0.845"
"2024-01-03T00:24:00.000+04:00","0.874"
"2024-01-03T11:48:00.000+04:00",
"2024-01-03T23:12:00.000+04:00",
"2024-01-04T10:36:00.000+04:00","0.966"
"2024-01-04T22:00:00.000+04:00",
"2024-01-05T09:24:00.000+04:00",
"2024-01-05T20:48:00.000+04:00",
"2024-01-06T08:12:00.000+04:00","1.0476666666666665"
"2024-01-06T19:36:00.000+04:00",
"2024-01-07T07:00:00.000+04:00","1.148"
"2024-01-07T18:24:00.000+04:00",
"2024-01-08T05:48:00.000+04:00","1.2283333333333333"
"2024-01-08T17:12:00.000+04:00",
"2024-01-09T04:36:00.000+04:00","1.37425"
"2024-01-09T16:00:00.000+04:00",
"2024-01-10T03:24:00.000+04:00","1.5304444444444445"
"2024-01-10T14:48:00.000+04:00","1.621"
"2024-01-11T02:12:00.000+04:00","1.7188888888888891"
"2024-01-11T13:36:00.000+04:00","1.8490000000000002"
"2024-01-12T01:00:00.000+04:00",
"2024-01-12T12:24:00.000+04:00","1.856"
"2024-01-12T23:48:00.000+04:00","1.966"
"2024-01-13T11:12:00.000+04:00",
"2024-01-13T22:36:00.000+04:00","2.0605"
"2024-01-14T10:00:00.000+04:00","2.0914999999999995"
"2024-01-14T21:24:00.000+04:00",
"2024-01-15T08:48:00.000+04:00","2.2256"
"2024-01-15T20:12:00.000+04:00",
"2024-01-16T07:36:00.000+04:00","2.4172857142857143"
"2024-01-16T19:00:00.000+04:00",
"2024-01-17T06:24:00.000+04:00","2.6484"
"2024-01-17T17:48:00.000+04:00",
"2024-01-18T05:12:00.000+04:00","2.887777777777778"
"2024-01-18T16:36:00.000+04:00","2.989"
"2024-01-19T04:00:00.000+04:00",
"2024-01-19T15:24:00.000+04:00",
"2024-01-20T02:48:00.000+04:00","3.049"
"2024-01-20T14:12:00.000+04:00","3.072"
"2024-01-21T01:36:00.000+04:00","3.162333333333333"
"2024-01-21T13:00:00.000+04:00",
"2024-01-22T00:24:00.000+04:00","3.2276666666666665"
"2024-01-22T11:48:00.000+04:00","3.3876999999999997"
"2024-01-22T23:12:00.000+04:00","3.468"
"2024-01-23T10:36:00.000+04:00","3.590666666666666"
"2024-01-23T22:00:00.000+04:00","3.6565"
"2024-01-24T09:24:00.000+04:00","3.797"
"2024-01-24T20:48:00.000+04:00",
"2024-01-25T08:12:00.000+04:00","4.011100000000001"
"2024-01-25T19:36:00.000+04:00",
"2024-01-26T07:00:00.000+04:00","4.072"
"2024-01-26T18:24:00.000+04:00",
"2024-01-27T05:48:00.000+04:00","4.154"
"2024-01-27T17:12:00.000+04:00",
"2024-01-28T04:36:00.000+04:00","4.2545"
"2024-01-28T16:00:00.000+04:00","4.258"
"2024-01-29T03:24:00.000+04:00","4.411900000000001"
"2024-01-29T14:48:00.000+04:00","4.578"
"2024-01-30T02:12:00.000+04:00",
"2024-01-30T13:36:00.000+04:00",
"2024-01-31T01:00:00.000+04:00","4.842"
"2024-01-31T12:24:00.000+04:00","5.00725"
"2024-01-31T23:48:00.000+04:00","5.142499999999999"
"2024-02-01T11:12:00.000+04:00","5.2736"
"2024-02-01T22:36:00.000+04:00",
"2024-02-02T10:00:00.000+04:00",
"2024-02-02T21:24:00.000+04:00",
"2024-02-03T08:48:00.000+04:00","5.323"
"2024-02-03T20:12:00.000+04:00",
"2024-02-04T07:36:00.000+04:00","5.457333333333334"
"2024-02-04T19:00:00.000+04:00",
"2024-02-05T06:24:00.000+04:00","5.598599999999999"
"2024-02-05T17:48:00.000+04:00",
"2024-02-06T05:12:00.000+04:00","5.780545454545455"
"2024-02-06T16:36:00.000+04:00","5.898"
"2024-02-07T04:00:00.000+04:00","5.9950714285714275"
"2024-02-07T15:24:00.000+04:00","6.061"
"2024-02-08T02:48:00.000+04:00","6.200375"
"2024-02-08T14:12:00.000+04:00",
"2024-02-09T01:36:00.000+04:00",
"2024-02-09T13:00:00.000+04:00","6.302"
"2024-02-10T00:24:00.000+04:00","6.3605"
"2024-02-10T11:48:00.000+04:00",
"2024-02-10T23:12:00.000+04:00","6.475"
"2024-02-11T10:36:00.000+04:00","6.494"
"2024-02-11T22:00:00.000+04:00","6.529"
"2024-02-12T09:24:00.000+04:00","6.6225"
"2024-02-12T20:48:00.000+04:00",
"2024-02-13T08:12:00.000+04:00","6.77"
"2024-02-13T19:36:00.000+04:00",
"2024-02-14T07:00:00.000+04:00","6.894272727272727"
"2024-02-14T18:24:00.000+04:00",
"2024-02-15T05:48:00.000+04:00","7.123571428571428"
"2024-02-15T17:12:00.000+04:00","7.210999999999999"
"2024-02-16T04:36:00.000+04:00","7.211"
"2024-02-16T16:00:00.000+04:00",
"2024-02-17T03:24:00.000+04:00","7.317"
"2024-02-17T14:48:00.000+04:00",
"2024-02-18T02:12:00.000+04:00","7.382000000000001"
"2024-02-18T13:36:00.000+04:00",
"2024-02-19T01:00:00.000+04:00","7.4525"
"2024-02-19T12:24:00.000+04:00","7.5794999999999995"
"2024-02-19T23:48:00.000+04:00","7.6370000000000005"
"2024-02-20T11:12:00.000+04:00","7.771333333333334"
"2024-02-20T22:36:00.000+04:00","7.853"
"2024-02-21T10:00:00.000+04:00","7.9921999999999995"
"2024-02-21T21:24:00.000+04:00","8.035"
"2024-02-22T08:48:00.000+04:00","8.191181818181818"
"2024-02-22T20:12:00.000+04:00",
"2024-02-23T07:36:00.000+04:00",
"2024-02-23T19:00:00.000+04:00",
"2024-02-24T06:24:00.000+04:00","8.421666666666669"
"2024-02-24T17:48:00.000+04:00",
"2024-02-25T05:12:00.000+04:00","8.472"
"2024-02-25T16:36:00.000+04:00",
"2024-02-26T04:00:00.000+04:00","8.580000000000002"
"2024-02-26T15:24:00.000+04:00",
"2024-02-27T02:48:00.000+04:00","8.829500000000001"
"2024-02-27T14:12:00.000+04:00","8.96325"
"2024-02-28T01:36:00.000+04:00","9.061428571428571"
"2024-02-28T13:00:00.000+04:00","9.1475"
"2024-02-29T00:24:00.000+04:00","9.252666666666666"
"2024-02-29T11:48:00.000+04:00","9.4374"
"2024-02-29T23:12:00.000+04:00",
"2024-03-01T10:36:00.000+04:00","9.492"
"2024-03-01T22:00:00.000+04:00",
"2024-03-02T09:24:00.000+04:00","9.5725"
"2024-03-02T20:48:00.000+04:00",
"2024-03-03T08:12:00.000+04:00","9.679"
"2024-03-03T19:36:00.000+04:00",
"2024-03-04T07:00:00.000+04:00","9.790777777777777"
"2024-03-04T18:24:00.000+04:00",
"2024-03-05T05:48:00.000+04:00","10.081777777777777"
"2024-03-05T17:12:00.000+04:00",
"2024-03-06T04:36:00.000+04:00","10.418181818181818"
"2024-03-06T16:00:00.000+04:00",
"2024-03-07T03:24:00.000+04:00","10.734666666666667"
"2024-03-07T14:48:00.000+04:00",
"2024-03-08T02:12:00.000+04:00",
"2024-03-08T13:36:00.000+04:00",
"2024-03-09T01:00:00.000+04:00","10.952333333333334"
"2024-03-09T12:24:00.000+04:00",
"2024-03-09T23:48:00.000+04:00","11.0415"
"2024-03-10T11:12:00.000+04:00","11.0765"
"2024-03-10T22:36:00.000+04:00",
"2024-03-11T10:00:00.000+04:00","11.165"
"2024-03-11T21:24:00.000+04:00",
"2024-03-12T08:48:00.000+04:00","11.2605"
"2024-03-12T20:12:00.000+04:00",
"2024-03-13T07:36:00.000+04:00","11.346"
"2024-03-13T19:00:00.000+04:00",
"2024-03-14T06:24:00.000+04:00","11.418500000000002"
"2024-03-14T17:48:00.000+04:00",
"2024-03-15T05:12:00.000+04:00","11.46"
"2024-03-15T16:36:00.000+04:00",
"2024-03-16T04:00:00.000+04:00","11.554499999999999"
"2024-03-16T15:24:00.000+04:00","11.567"
"2024-03-17T02:48:00.000+04:00","11.611285714285716"
"2024-03-17T14:12:00.000+04:00",
"2024-03-18T01:36:00.000+04:00","11.714"
"2024-03-18T13:00:00.000+04:00",
"2024-03-19T00:24:00.000+04:00","11.854"
"2024-03-19T11:48:00.000+04:00",
"2024-03-19T23:12:00.000+04:00","11.907666666666666"
"2024-03-20T10:36:00.000+04:00",
"2024-03-20T22:00:00.000+04:00",
"2024-03-21T09:24:00.000+04:00","11.99"
"2024-03-21T20:48:00.000+04:00","12.021"
"2024-03-22T08:12:00.000+04:00",
"2024-03-22T19:36:00.000+04:00",
"2024-03-23T07:00:00.000+04:00","12.1065"
"2024-03-23T18:24:00.000+04:00",
"2024-03-24T05:48:00.000+04:00","12.169"
"2024-03-24T17:12:00.000+04:00",
"2024-03-25T04:36:00.000+04:00","12.322"
"2024-03-25T16:00:00.000+04:00",
"2024-03-26T03:24:00.000+04:00","12.3645"
"2024-03-26T14:48:00.000+04:00",
"2024-03-27T02:12:00.000+04:00","12.49"
"2024-03-27T13:36:00.000+04:00",
"2024-03-28T01:00:00.000+04:00","12.5195"
"2024-03-28T12:24:00.000+04:00",
"2024-03-28T23:48:00.000+04:00",
"2024-03-29T11:12:00.000+04:00",
"2024-03-29T22:36:00.000+04:00","12.553"
"2024-03-30T10:00:00.000+04:00","12.649"
"2024-03-30T21:24:00.000+04:00",
"2024-03-31T08:48:00.000+04:00","12.838"
"2024-03-31T20:12:00.000+04:00",
"2024-04-01T07:36:00.000+04:00","12.803999999999998"
